,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
10,5.136068007596885e-32,5.13937116639715e-32,5.15202075146573e-32,5.177506388498297e-32,5.220226632691546e-32,5.285673851443865e-32,5.380646648213821e-32,5.513491510712771e-32,5.694374784786303e-32,5.935585268801419e-32,6.251866664445303e-32,6.660777786134178e-32,7.183076807854769e-32,7.843123908022989e-32,8.669294465918638e-32,9.69439248535925e-32,1.0956051201251913e-31,1.2497104898735487e-31,1.4365912880002428e-31,1.6616613278087132e-31,1.9309281041794004e-31,2.250996085518626e-31,2.629054188357658e-31,3.0728436811701125e-31,3.5906022244089952e-31,4.1909790522384565e-31,4.882915341328971e-31,5.675482455358725e-31,6.577668809247321e-31,7.598103306120386e-31,8.744699320406258e-31,1.0024197587656406e-30,1.1441578547295685e-30,1.2999303953115655e-30,1.469633303058381e-30,1.6526839035440286e-30,1.847852644889183e-30,2.0530415683794506e-30,2.2649919271644974e-30,2.4788978993788767e-30,2.6878965013330895e-30,2.882395325794658e-30,3.0491893472353688e-30,3.17030548657823e-30,3.2214986645570776e-30
11,1.0959611991942862e-31,1.0967039434097278e-31,1.0995483319002198e-31,1.1052791122823445e-31,1.1148854976723871e-31,1.1296027661934412e-31,1.1509600437873118e-31,1.1808346361703534e-31,1.2215131392782742e-31,1.2757593693336903e-31,1.3468889076101216e-31,1.4388497462438037e-31,1.5563081471232067e-31,1.7047383854215704e-31,1.8905145449691624e-31,2.1210019695679854e-31,2.404645360436117e-31,2.751049855111823e-31,3.1710507377264954e-31,3.676766723012184e-31,4.281631029606063e-31,5.000393704290215e-31,5.849087852211945e-31,6.844951516484376e-31,8.006295842924605e-31,9.35230871779479e-31,1.0902781062466825e-30,1.2677740099328957e-30,1.469696973781189e-30,1.6979392185578514e-30,1.9542276195546706e-30,2.2400225009882237e-30,2.5563879771898196e-30,2.9038250326145043e-30,3.28205529048424e-30,3.68973907447435e-30,4.124105622712553e-30,4.5804658167165366e-30,5.051568129624198e-30,5.5267462092130844e-30,5.9907910674818144e-30,6.422461679518417e-30,6.792524300117501e-30,7.06118238439324e-30,7.174725081776031e-30
12,2.3380814829479574e-31,2.3397514751300404e-31,2.3461468690356547e-31,2.359032291155366e-31,2.380632311849265e-31,2.4137250540274574e-31,2.4617496861211497e-31,2.528928593068987e-31,2.6204046989200964e-31,2.742393975458484e-31,2.9023525994046435e-31,3.109157505967283e-31,3.3732982231597808e-31,3.7070768596078223e-31,4.124811965643125e-31,4.643040707639031e-31,5.280712409932036e-31,6.059365053534573e-31,7.003274804165286e-31,8.139567098069693e-31,9.498276254693546e-31,1.1112338998626189e-30,1.3017505607702418e-30,1.5252150547501466e-30,1.785696220524387e-30,2.0874488378113933e-30,2.4348510020153453e-30,2.8323209713486365e-30,3.284209243606975e-30,3.794660313659429e-30,4.367436665509682e-30,5.005694837566416e-30,5.711699575810431e-30,6.486456790183239e-30,7.329238799031516e-30,8.236965626674973e-30,9.203393236673969e-30,1.0218042738369843e-29,1.126478286320944e-29,1.2319950301562207e-29,1.3349857624129466e-29,1.430749518191846e-29,1.5128180214010225e-29,1.5723842014523297e-29,1.5975555122899948e-29
13,4.987169110423406e-31,4.990923747682188e-31,5.005302609783489e-31,5.034273596371059e-31,5.082839271632581e-31,5.157247531925538e-31,5.265233456020378e-31,5.4162940567230095e-31,5.621996902013635e-31,5.896322548937258e-31,6.256039404269552e-31,6.721107970624502e-31,7.315109444756715e-31,8.065691310356162e-31,9.005019931392017e-31,1.0170227242576173e-30,1.160383550615821e-30,1.3354140827413021e-30,1.5475532768527434e-30,1.8028724038389967e-30,2.108086090379717e-30,2.4705481652229126e-30,2.8982287034472043e-30,3.399668288689268e-30,3.983905064055488e-30,4.6603695456749206e-30,5.4387413208055605e-30,6.328760489190593e-30,7.339984814253285e-30,8.481480733831712e-30,9.761432245266369e-30,1.1186645714042246e-29,1.2761920201459636e-29,1.4489241134991857e-29,1.6366739022523445e-29,1.8387333172507293e-29,2.0536951496890005e-29,2.2792179623981164e-29,2.5117143609091065e-29,2.745936806591202e-29,2.974427282188688e-29,3.1867873250178694e-29,3.368712911409781e-29,3.5007240922554623e-29,3.556501846964946e-29
14,1.0636315421515937e-30,1.0644756626215425e-30,1.0677083604626388e-30,1.0742218282595881e-30,1.0851410198992932e-30,1.10187106849864e-30,1.1261517092010343e-30,1.1601190782503499e-30,1.206375083776528e-30,1.2680643045459293e-30,1.3489580639079374e-30,1.4535449427021505e-30,1.5871265351749918e-30,1.7559167177103634e-30,1.9671420972072913e-30,2.229140644383168e-30,2.5514548114283637e-30,2.944914700840424e-30,3.421706111980958e-30,3.9954175615626475e-30,4.681059665732515e-30,5.495049584582104e-30,6.455152544495832e-30,7.580371718468769e-30,8.89077686337433e-30,1.040726092820192e-29,1.2151212117447645e-29,1.4144086269130027e-29,1.6406860397327117e-29,1.8959342187742163e-29,2.1819301234227414e-29,2.500137470624928e-29,2.851568145561609e-29,3.2366052427059424e-29,3.654774929220072e-29,4.1044494608594983e-29,4.582457204207699e-29,5.08356701469007e-29,5.599803303570314e-29,6.119534043714583e-29,6.626256190296924e-29,7.096980848678845e-29,7.500093290141761e-29,7.792529874698525e-29,7.916074408989558e-29
15,2.2681696105839303e-30,2.2700672978156734e-30,2.2773348803284896e-30,2.2919784365509268e-30,2.3165276953572628e-30,2.3541427832365e-30,2.4087367111207867e-30,2.485114401600326e-30,2.5891286447623683e-30,2.727852812674587e-30,2.909769443957653e-30,3.1449729213278005e-30,3.4453834036588756e-30,3.8249679458108054e-30,4.2999633599133334e-30,4.88909386726159e-30,5.6137749968782574e-30,6.498293549663658e-30,7.569951814496993e-30,8.859162640619423e-30,1.0399480472375452e-29,1.2227552044401308e-29,1.4382969078469713e-29,1.6908003908063666e-29,1.9847207272568086e-29,2.324684521856004e-29,2.715414858152973e-29,3.161634311129733e-29,3.667941984536614e-29,4.2386592322944224e-29,4.877636766586549e-29,5.588012981521184e-29,6.371909194399202e-29,7.230041701650974e-29,8.161222533531389e-29,9.161709919506551e-29,1.022435495636103e-28,1.1337471863288814e-28,1.2483334410911252e-28,1.363616935810621e-28,1.475947759915436e-28,1.5802463658982796e-28,1.6695292534312144e-28,1.7342818008321185e-28,1.7616336907225162e-28
16,4.836238718540541e-30,4.840504787289371e-30,4.856842768040191e-30,4.88976319857499e-30,4.944954746633129e-30,5.029524559717905e-30,5.15227399073219e-30,5.324011421313153e-30,5.5579029379561095e-30,5.869860313089197e-30,6.278964071973123e-30,6.807917366724357e-30,7.483523927671066e-30,8.337180537244793e-30,9.405371314322282e-30,1.0730147674609144e-29,1.2359574237185487e-29,1.43481172906556e-29,1.6756948837074956e-29,1.9654135815743092e-29,2.311468096188843e-29,2.722037890687047e-29,3.2059448503080305e-29,3.7725899725237385e-29,4.431859039710019e-29,5.193992363717087e-29,6.069413010042744e-29,7.068506804862317e-29,8.201345652541326e-29,9.477342905466035e-29,1.0904825280184852e-28,1.2490499513181302e-28,1.423878283664315e-28,1.6150953467815622e-28,1.8224059444925213e-28,2.0449499831724875e-28,2.2811159761023685e-28,2.528293785754463e-28,2.782544876335754e-28,3.0381611897227633e-28,3.2870746963205616e-28,3.518068352675456e-28,3.7157252438127983e-28,3.8590357207887415e-28,3.9195620051238177e-28
17,1.0310663175964788e-29,1.0320253042926553e-29,1.0356980332739381e-29,1.0430986468358506e-29,1.0555063611142476e-29,1.0745195924588221e-29,1.1021180370017234e-29,1.1407330726247927e-29,1.19332662595603e-29,1.2634783428761214e-29,1.3554805122114627e-29,1.474439714761115e-29,1.62638360354453e-29,1.8183705712016634e-29,2.0585993376755268e-29,2.3565147126977704e-29,2.7229049761896975e-29,3.169985503403095e-29,3.711462471111524e-29,4.3625697462250996e-29,5.140071402467104e-29,6.062221744263809e-29,7.148674226355421e-29,8.420330193238866e-29,9.899117822523886e-29,1.1607690866492492e-28,1.3569035475737893e-28,1.580597116042453e-28,1.834052823896547e-28,2.1193178176399153e-28,2.4381884005772488e-28,2.7920924221402268e-28,3.1819423416834404e-28,3.60794943378928e-28,4.069385621537527e-28,4.564273988543028e-28,5.088981723377864e-28,5.637679605248948e-28,6.201619576160586e-28,6.768165803524669e-28,7.319494175874554e-28,7.8308495790242305e-28,8.268218708884066e-28,8.585237719461215e-28,8.719107858706141e-28
18,2.197910222343097e-29,2.2000658658890063e-29,2.2083216747626277e-29,2.2249577720840415e-29,2.2528507160452187e-29,2.295595414550095e-29,2.3576449256466568e-29,2.4444689328323195e-29,2.5627311533474156e-29,2.7204852274823525e-29,2.927387732194944e-29,3.194925854795679e-29,3.5366559538022094e-29,3.968447738177588e-29,4.508727140955072e-29,5.178709191541823e-29,6.002610360025852e-29,7.007828025768531e-29,8.22507298751608e-29,9.688439357840467e-29,1.1435394831832044e-28,1.3506673218770945e-28,1.5946050252828892e-28,1.8799982949158271e-28,2.211709192059745e-28,2.594746472920395e-28,3.0341755908195663e-28,3.535005485970469e-28,4.1020485151343945e-28,4.739748607625814e-28,5.451970740628746e-28,6.241741804446695e-28,7.110928489427704e-28,8.05983147914866e-28,9.086666363986819e-28,1.0186889536777034e-27,1.1352310975204973e-27,1.2569914148877363e-27,1.3820275011377819e-27,1.5075435646098039e-27,1.629604193234659e-27,1.7427496721590604e-27,1.839480848642426e-27,1.909572822741246e-27,1.9391662706296956e-27
19,4.6846272137597585e-29,4.689472493046793e-29,4.708029525747571e-29,4.745424623462326e-29,4.8081261910731306e-29,4.904219382479815e-29,5.043720992289454e-29,5.238936263723827e-29,5.504858048729444e-29,5.859607098195078e-29,6.324910154370509e-29,6.926609948013557e-29,7.695198177341724e-29,8.666359101836277e-29,9.881507592397817e-29,1.1388301447219735e-28,1.3241103651652752e-28,1.5501366200788615e-28,1.823790330307243e-28,2.152701842727358e-28,2.5452446898217995e-28,3.0105073673533255e-28,3.5582384507406678e-28,4.198760770336745e-28,4.942850258115813e-28,5.801574876498731e-28,6.786088607686884e-28,7.907374617663962e-28,9.175930128793308e-28,1.0601382849940352e-27,1.2192024504192871e-27,1.3954240381779568e-27,1.5891804054090001e-27,1.800499230227368e-27,2.0289455549023148e-27,2.2734751915692593e-27,2.532241636487773e-27,2.8023387718649074e-27,3.079455270084959e-27,3.357408410834295e-27,3.62751458910211e-27,3.8777407044899916e-27,4.091564426193687e-27,4.2464515638685476e-27,4.311835007600154e-27
